Village_Code,District,Village_Name,main_occupation,employment_rate,average_income_per_household,poverty_rate,access_to_credit
367,Visakhapatnam,Sethpalli,Labor,73.14,38319,34.73,No
368,Nellore,Tiffanypalli,Labor,92.85,6275,59.03,No
369,Vizianagaram,Aaronpalli,Mixed,70.35,12295,5.17,Yes - Bank
370,Vizianagaram,Alyssapalli,Labor,89.92,15216,33.28,Yes - Bank
371,Visakhapatnam,Carlapalli,Service,42.31,24812,6.55,Yes - Bank
372,Visakhapatnam,Anthonypalli,Agriculture,86.18,27695,31.4,Yes - Bank
373,Chittoor,Joannapalli,Agriculture,60.1,8859,15.85,Yes - Bank
374,East Godavari,Angelapalli,Agriculture,68.66,21957,12.6,Yes - Microfinance
375,YSR Kadapa,Josepalli,Labor,48.12,35511,10.55,Yes - Bank
376,YSR Kadapa,Josephpalli,Mixed,59.41,17387,55.1,No
377,Nellore,Paulpalli,Business,62.99,34096,30.39,No
378,Chittoor,Rebeccapalli,Agriculture,47.84,44844,23.1,Yes - Bank
379,West Godavari,Michaelpalli,Service,80.61,9716,45.36,Yes - Microfinance
380,YSR Kadapa,Priscillapalli,Agriculture,44.66,32419,34.35,No
381,YSR Kadapa,Andreapalli,Labor,47.93,8255,51.53,No
382,East Godavari,Patrickpalli,Business,92.29,34195,54.78,No
383,Guntur,Reginapalli,Business,94.1,49340,48.84,No
384,Nellore,Michaelpalli,Labor,72.91,28828,18.25,Yes - Bank
385,YSR Kadapa,Christopherpalli,Agriculture,90.54,28042,54.42,Yes - Bank
386,Srikakulam,Markpalli,Business,84.25,17783,12.38,Yes - Bank
387,West Godavari,Tammypalli,Business,73.11,17841,7.92,Yes - Bank
388,YSR Kadapa,Bryanpalli,Agriculture,49.91,20645,36.23,Yes - Bank
389,Vizianagaram,Michaelpalli,Labor,56.75,41848,52.84,Yes - Bank
390,YSR Kadapa,Jenniferpalli,Agriculture,61.39,11469,32.15,No
391,Kurnool,Jasonpalli,Business,68.22,9107,18.27,Yes - Microfinance
392,Krishna,Angelapalli,Business,62.9,40070,27.64,Yes - Microfinance
393,Nellore,Stacypalli,Business,71.24,4110,35.39,No
394,East Godavari,Christinapalli,Mixed,72.77,13399,29.73,No
395,Guntur,Jamespalli,Agriculture,59.49,25607,59.45,Yes - Bank
396,East Godavari,Timothypalli,Agriculture,79.37,28666,34.86,Yes - Bank
397,Nellore,Jamespalli,Service,45.97,48648,22.79,Yes - Microfinance
398,Chittoor,Jessicapalli,Mixed,70.55,7025,33.26,No
399,Chittoor,Rebekahpalli,Agriculture,64.94,47905,31.97,Yes - Bank
400,West Godavari,Laurenpalli,Labor,70.48,23075,54.38,No
401,Krishna,Lynnpalli,Agriculture,45.2,6220,41.98,Yes - Bank
402,Anantapur,Katiepalli,Business,58.58,24194,31.7,No
403,East Godavari,Kathleenpalli,Agriculture,85.84,5011,47.81,Yes - Microfinance
404,Guntur,Peterpalli,Labor,88.26,16654,17.66,No
405,Kurnool,Trevorpalli,Mixed,72.28,4912,27.63,No
406,Chittoor,Brittneypalli,Mixed,40.22,20671,9.6,Yes - Bank
407,Vizianagaram,Natashapalli,Mixed,70.57,24721,34.38,Yes - Bank
408,Chittoor,Michaelpalli,Business,50.69,42064,7.41,Yes - Bank
409,West Godavari,Josepalli,Business,69.81,3530,41.87,No
410,Visakhapatnam,Johnpalli,Labor,78.0,17925,41.44,Yes - Bank
411,East Godavari,Bethpalli,Labor,57.8,16413,6.09,Yes - Bank
412,YSR Kadapa,Brittanypalli,Service,88.61,38422,10.1,No
413,Prakasam,Samanthapalli,Agriculture,76.88,45052,36.78,Yes - Microfinance
414,West Godavari,Lisapalli,Agriculture,65.43,38749,19.53,Yes - Microfinance
415,YSR Kadapa,Amandapalli,Agriculture,55.33,32905,54.02,Yes - Microfinance
416,Nellore,Melaniepalli,Mixed,42.65,31404,20.14,No
417,Nellore,Philippalli,Labor,90.11,32937,39.71,No
418,Guntur,Douglaspalli,Agriculture,79.07,7522,29.59,Yes - Microfinance
419,Kurnool,Corypalli,Agriculture,40.17,47474,40.59,Yes - Bank
420,YSR Kadapa,Meredithpalli,Mixed,73.47,8405,30.52,No
421,Visakhapatnam,Karapalli,Mixed,51.92,36603,29.47,No
422,Prakasam,Jacobpalli,Service,44.67,30081,39.11,No
423,Prakasam,Sarahpalli,Business,43.97,29643,29.42,Yes - Bank
424,Visakhapatnam,Nathanpalli,Business,69.12,32141,17.64,No
425,Chittoor,Bobbypalli,Service,91.86,28897,30.95,Yes - Bank
426,East Godavari,Jamespalli,Agriculture,63.68,19063,40.17,Yes - Bank
427,Chittoor,Robertpalli,Labor,87.38,49546,32.25,Yes - Microfinance
428,Srikakulam,Samuelpalli,Agriculture,45.62,24020,32.7,Yes - Microfinance
429,Prakasam,Markpalli,Business,74.66,43470,37.03,No
430,Guntur,Angelapalli,Mixed,81.57,18139,29.76,Yes - Microfinance
431,YSR Kadapa,Oscarpalli,Service,94.21,42367,59.65,Yes - Microfinance
432,Anantapur,Briannapalli,Service,72.31,32537,11.3,Yes - Bank
433,Chittoor,Sarapalli,Service,87.02,20565,56.53,Yes - Microfinance
434,Anantapur,Kristinepalli,Business,82.83,35331,39.19,No
435,West Godavari,Laurenpalli,Mixed,60.34,35918,12.4,Yes - Microfinance
436,Vizianagaram,Robertpalli,Agriculture,77.81,14903,56.24,No
437,Srikakulam,Ashleypalli,Labor,59.98,37811,52.23,Yes - Microfinance
438,Chittoor,Christinapalli,Service,45.11,24887,33.6,No
439,Krishna,Donnapalli,Mixed,84.0,21954,58.77,Yes - Bank
440,Srikakulam,Nicolepalli,Mixed,80.95,42301,37.02,Yes - Microfinance
441,West Godavari,Brettpalli,Business,55.87,44299,27.39,Yes - Microfinance
442,Krishna,Jonathanpalli,Mixed,49.28,3055,11.49,No
443,Srikakulam,Troypalli,Agriculture,70.37,26584,26.46,Yes - Bank
444,Prakasam,Donaldpalli,Service,50.66,10896,49.36,Yes - Microfinance
445,Anantapur,Peterpalli,Agriculture,86.15,38670,28.3,Yes - Bank
446,Anantapur,Tiffanypalli,Labor,81.82,28363,17.1,Yes - Bank
447,Prakasam,Beverlypalli,Agriculture,76.1,29562,32.31,No
448,Krishna,Dawnpalli,Business,40.8,35416,39.87,Yes - Bank
449,Vizianagaram,Stephenpalli,Mixed,90.82,39682,33.02,No
450,Vizianagaram,Williampalli,Agriculture,63.96,10644,24.5,No
451,Chittoor,Angelapalli,Service,74.65,43970,13.65,No
452,Guntur,Carriepalli,Service,67.94,48524,10.08,Yes - Bank
453,Chittoor,Kerrypalli,Service,90.78,32036,26.72,No
454,Krishna,Jasminepalli,Mixed,93.08,25514,15.99,Yes - Bank
455,Anantapur,Christopherpalli,Labor,43.9,43740,46.9,Yes - Bank
456,Krishna,Josephpalli,Agriculture,68.08,15747,29.59,Yes - Microfinance
457,Chittoor,Robertpalli,Labor,59.12,29781,5.16,Yes - Microfinance
458,Anantapur,Anthonypalli,Mixed,58.89,5867,33.65,Yes - Microfinance
459,Vizianagaram,Bryanpalli,Business,53.63,44932,45.0,Yes - Bank
460,YSR Kadapa,Parkerpalli,Service,53.62,7424,27.01,Yes - Bank
461,Chittoor,Jeffreypalli,Agriculture,52.13,13831,26.6,Yes - Microfinance
462,Krishna,Dylanpalli,Business,84.31,31896,14.44,No
463,East Godavari,Haleypalli,Agriculture,79.42,39224,16.09,No
464,Kurnool,Lisapalli,Mixed,89.0,42959,59.96,Yes - Bank
465,Vizianagaram,Davidpalli,Agriculture,40.15,10219,6.45,Yes - Microfinance
466,Anantapur,Donnapalli,Service,52.46,45619,34.01,Yes - Microfinance
467,Anantapur,Davidpalli,Agriculture,81.62,14914,28.68,Yes - Microfinance
468,Vizianagaram,Jamespalli,Business,60.05,24255,17.62,Yes - Microfinance
469,Nellore,Michaelpalli,Mixed,88.48,42354,46.13,Yes - Bank
470,Prakasam,Chelseapalli,Labor,78.73,5332,18.76,Yes - Bank
471,YSR Kadapa,Jacobpalli,Agriculture,76.88,25748,10.92,Yes - Bank
472,Anantapur,Kimberlypalli,Labor,49.68,15152,37.17,No
473,Chittoor,Karlpalli,Service,48.55,18558,28.54,Yes - Microfinance
474,Guntur,Heatherpalli,Service,59.54,8290,10.78,Yes - Bank
475,Vizianagaram,Brittneypalli,Business,77.52,23394,32.49,Yes - Microfinance
476,Srikakulam,Lindapalli,Business,88.2,13247,40.93,No
477,Vizianagaram,Crystalpalli,Business,81.86,13182,37.94,Yes - Microfinance
478,West Godavari,Codypalli,Service,92.7,39106,55.99,No
479,Srikakulam,Michaelpalli,Business,58.6,22299,25.42,No
480,Guntur,Thomaspalli,Agriculture,78.08,6940,46.54,Yes - Microfinance
481,Krishna,Christopherpalli,Labor,84.64,31736,50.64,No
482,Krishna,Peterpalli,Business,60.31,5598,11.2,No
483,Guntur,Johnpalli,Mixed,55.9,3553,6.45,Yes - Microfinance
484,Guntur,Amberpalli,Service,90.58,27679,44.99,Yes - Bank
485,YSR Kadapa,Jasonpalli,Labor,64.97,11249,13.89,Yes - Bank
486,Krishna,Kylepalli,Mixed,68.07,35500,48.3,Yes - Microfinance
487,Prakasam,Marcuspalli,Labor,59.32,21058,27.28,No
488,Krishna,Deborahpalli,Labor,93.58,44405,59.85,No
489,Anantapur,Cynthiapalli,Business,44.79,14682,27.25,No
490,East Godavari,Kevinpalli,Service,86.98,30224,44.95,Yes - Bank
491,YSR Kadapa,Randypalli,Mixed,50.72,23345,49.25,Yes - Bank
492,YSR Kadapa,Robertpalli,Service,52.41,34830,29.47,No
493,Kurnool,Carriepalli,Agriculture,75.68,18800,56.56,Yes - Microfinance
494,Chittoor,Anitapalli,Service,68.53,5555,12.0,Yes - Microfinance
495,Anantapur,Jerrypalli,Mixed,88.84,34778,44.36,No
496,Anantapur,Johnpalli,Agriculture,67.19,46095,38.81,Yes - Bank
497,East Godavari,Victorpalli,Labor,85.85,49133,12.21,Yes - Bank
498,Kurnool,Blakepalli,Service,79.98,31743,12.85,Yes - Bank
499,Anantapur,Emilypalli,Labor,87.78,41490,18.89,Yes - Microfinance
500,Prakasam,Josephpalli,Mixed,65.53,13387,43.7,Yes - Bank
