Village_Code,District,Village_Name,Electricity_Access_Percent,Street_Lighting_Percent,Average_Hours_Power_Supply,Transformer_Count,Solar_Power_Implemented,Electricity_Metering_Percent,Power_Outage_Frequency,Recent_Upgrades,Last_Updated,Data_Source,Verified_By
211,Prakasam,Meganpalli,87,76,21.214712776221493,7,No,80,Low,Yes,2025-08-08,State Electricity Board,Gram Panchayat Officer
212,Chittoor,Danielpalli,78,85,21.22340239845906,7,No,89,Low,Yes,2025-08-23,State Electricity Board,Gram Panchayat Officer
213,West Godavari,Amandapalli,75,86,23.56841189425332,8,No,100,High,No,2025-08-17,State Electricity Board,Gram Panchayat Officer
214,YSR Kadapa,Joshuapalli,86,70,22.65563029364119,7,Partial,92,Moderate,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
215,Kurnool,Barbarapalli,94,97,18.71251173000604,7,Partial,84,Low,No,2025-08-03,State Electricity Board,District Engineer
216,East Godavari,Michellepalli,73,89,18.845456140407578,7,Yes,85,Low,Yes,2025-08-19,State Electricity Board,District Engineer
217,Kurnool,Robertpalli,79,94,18.383783074265963,5,Yes,99,Moderate,Yes,2025-07-30,State Electricity Board,District Engineer
218,Kurnool,Kathleenpalli,79,96,20.913585302427155,9,Partial,83,Low,No,2025-07-28,State Electricity Board,Independent Auditor
219,Visakhapatnam,Kevinpalli,84,59,22.952294100538705,7,Partial,99,High,No,2025-08-06,State Electricity Board,Independent Auditor
220,YSR Kadapa,Tylerpalli,86,56,21.910126097241804,9,Partial,86,Low,Yes,2025-08-23,State Electricity Board,District Engineer
221,Nellore,Andreapalli,98,77,20.533490020475746,1,Partial,85,High,Yes,2025-08-23,State Electricity Board,District Engineer
222,Vizianagaram,Michaelpalli,81,62,22.48797445720257,9,No,86,High,No,2025-08-18,State Electricity Board,District Engineer
223,YSR Kadapa,Derekpalli,70,70,21.79084982185423,6,Yes,88,Low,Yes,2025-08-07,State Electricity Board,Independent Auditor
224,Vizianagaram,Lisapalli,70,72,21.318904356171746,3,No,99,Low,Yes,2025-08-23,State Electricity Board,Gram Panchayat Officer
225,Krishna,Donnapalli,82,84,22.1850388541309,3,No,93,Low,Yes,2025-08-19,State Electricity Board,Independent Auditor
226,Prakasam,Andrewpalli,98,63,23.29208479249838,9,Partial,92,High,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
227,Guntur,Lauriepalli,83,97,18.499810718252874,6,Partial,83,High,No,2025-08-19,State Electricity Board,Gram Panchayat Officer
228,East Godavari,Josephpalli,84,56,19.486992959710363,9,No,83,Low,Yes,2025-08-18,State Electricity Board,District Engineer
229,Visakhapatnam,Joannapalli,91,82,22.74661164686909,4,Yes,99,Low,Yes,2025-08-03,State Electricity Board,Independent Auditor
230,Anantapur,Aprilpalli,97,82,22.386538891679784,4,No,85,Moderate,Yes,2025-08-08,State Electricity Board,Gram Panchayat Officer
231,Anantapur,Jimmypalli,80,95,23.627373476218605,1,No,95,Moderate,No,2025-08-21,State Electricity Board,Independent Auditor
232,Visakhapatnam,Amypalli,71,77,22.53310590814723,6,Partial,85,Low,Yes,2025-07-28,State Electricity Board,Independent Auditor
233,Prakasam,Latoyapalli,96,67,19.4841737048473,2,Partial,84,Moderate,No,2025-07-25,State Electricity Board,Gram Panchayat Officer
234,Krishna,Chadpalli,73,79,23.509325333081243,2,No,98,Moderate,Yes,2025-08-07,State Electricity Board,Independent Auditor
235,East Godavari,Morganpalli,79,72,21.96444692451411,3,Partial,80,High,Yes,2025-08-02,State Electricity Board,Gram Panchayat Officer
236,Kurnool,Curtispalli,82,73,22.175586996376857,7,Partial,92,Low,No,2025-08-06,State Electricity Board,District Engineer
237,Nellore,Marthapalli,74,70,20.68930422682196,5,Partial,96,High,Yes,2025-08-14,State Electricity Board,Gram Panchayat Officer
238,Anantapur,Stevenpalli,77,88,19.63697230835985,7,Partial,100,Low,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
239,Srikakulam,Denisepalli,98,58,21.475989454760544,10,Yes,94,Moderate,No,2025-08-20,State Electricity Board,Independent Auditor
240,Nellore,Melissapalli,83,77,21.541594013055985,5,Yes,94,High,No,2025-08-09,State Electricity Board,District Engineer
241,Anantapur,Sarahpalli,87,50,21.319474776767798,10,No,89,High,No,2025-08-16,State Electricity Board,Independent Auditor
242,East Godavari,Richardpalli,81,93,21.70684159624315,10,No,92,Moderate,Yes,2025-07-25,State Electricity Board,Independent Auditor
243,East Godavari,Jenniferpalli,76,88,22.811895959261136,5,Yes,93,Moderate,Yes,2025-08-15,State Electricity Board,Gram Panchayat Officer
244,Anantapur,Connorpalli,86,90,20.06017609862646,7,Partial,98,High,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
245,Anantapur,Sarahpalli,94,87,21.202225149927482,5,No,90,Low,Yes,2025-08-03,State Electricity Board,Independent Auditor
246,Anantapur,Michaelpalli,86,75,23.255029678787864,6,Yes,83,Low,Yes,2025-08-12,State Electricity Board,District Engineer
247,YSR Kadapa,Angelapalli,100,79,18.234507116528196,7,No,97,High,Yes,2025-08-24,State Electricity Board,Independent Auditor
248,Nellore,Triciapalli,75,67,21.207847721885017,5,No,96,Low,Yes,2025-08-24,State Electricity Board,Independent Auditor
249,Vizianagaram,Robertpalli,98,84,21.43880637983432,4,Partial,81,Moderate,No,2025-08-15,State Electricity Board,Independent Auditor
250,Nellore,Ginapalli,96,84,21.306391383869702,10,Partial,95,Moderate,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
251,Kurnool,Shaunpalli,83,65,18.087413332583488,8,No,80,Low,Yes,2025-08-18,State Electricity Board,District Engineer
252,Srikakulam,Leahpalli,91,72,22.32122309760946,7,Yes,98,High,No,2025-08-04,State Electricity Board,District Engineer
253,Srikakulam,Lesliepalli,70,72,20.32441539881157,2,Partial,88,High,Yes,2025-07-29,State Electricity Board,Gram Panchayat Officer
254,Guntur,Robertpalli,87,92,23.068024407202124,5,No,94,High,Yes,2025-08-08,State Electricity Board,Gram Panchayat Officer
255,Srikakulam,Danielpalli,99,96,23.473597169794395,2,Partial,95,Low,No,2025-07-27,State Electricity Board,Independent Auditor
256,Kurnool,Jenniferpalli,95,52,18.187380020901497,4,No,91,High,Yes,2025-08-23,State Electricity Board,District Engineer
257,West Godavari,Elizabethpalli,78,68,19.818096575872328,5,Yes,99,High,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
258,West Godavari,Raymondpalli,78,92,20.0576646009695,7,Partial,92,Moderate,Yes,2025-08-15,State Electricity Board,District Engineer
259,Vizianagaram,Susanpalli,82,59,22.72438461086685,3,Yes,90,Moderate,No,2025-07-28,State Electricity Board,Gram Panchayat Officer
260,Guntur,Aliciapalli,74,70,23.594633389657893,3,Yes,85,Low,Yes,2025-08-14,State Electricity Board,District Engineer
261,Vizianagaram,Carlpalli,76,90,21.88509775667965,5,No,80,Moderate,No,2025-08-15,State Electricity Board,Gram Panchayat Officer
262,Guntur,Andrewpalli,98,74,19.821443954461092,5,Partial,90,Moderate,Yes,2025-08-05,State Electricity Board,Gram Panchayat Officer
263,YSR Kadapa,Christinepalli,80,60,18.57833343065246,4,Partial,87,Moderate,Yes,2025-08-09,State Electricity Board,District Engineer
264,Visakhapatnam,Shawnpalli,74,68,19.998101624637282,6,Yes,83,Low,Yes,2025-08-24,State Electricity Board,Independent Auditor
265,Guntur,Zacharypalli,77,75,18.76635479890162,3,Yes,82,High,No,2025-08-17,State Electricity Board,Independent Auditor
266,Chittoor,Michaelpalli,74,90,23.819463348238816,8,Yes,93,Moderate,Yes,2025-08-05,State Electricity Board,Gram Panchayat Officer
267,Visakhapatnam,Laurapalli,87,70,22.27419298924983,6,Partial,90,Low,Yes,2025-08-06,State Electricity Board,Independent Auditor
268,Kurnool,Gabrielapalli,79,60,22.08760709352932,6,Yes,90,Low,No,2025-08-21,State Electricity Board,Independent Auditor
269,YSR Kadapa,Allenpalli,80,81,20.20946036048,2,No,82,Low,No,2025-07-26,State Electricity Board,District Engineer
270,Vizianagaram,Kristapalli,86,90,18.282981650379575,5,Partial,82,Moderate,No,2025-08-10,State Electricity Board,Gram Panchayat Officer
271,Vizianagaram,Jasminpalli,78,80,19.38192646643605,6,Partial,86,Moderate,Yes,2025-08-15,State Electricity Board,Gram Panchayat Officer
272,Guntur,Noahpalli,97,83,22.390800822228933,5,Yes,94,Low,No,2025-08-06,State Electricity Board,Gram Panchayat Officer
273,East Godavari,Patriciapalli,92,86,20.756773987387366,5,No,99,Low,Yes,2025-08-14,State Electricity Board,District Engineer
274,Prakasam,Andrewpalli,85,82,21.205893562597865,4,Yes,83,High,Yes,2025-08-11,State Electricity Board,District Engineer
275,Krishna,Sergiopalli,97,100,18.411886037366727,4,Yes,100,High,Yes,2025-08-11,State Electricity Board,District Engineer
276,East Godavari,Donnapalli,86,80,21.036165589166337,3,Partial,82,Moderate,Yes,2025-08-09,State Electricity Board,Independent Auditor
277,Visakhapatnam,Meredithpalli,85,62,18.057856065865202,9,No,85,Moderate,Yes,2025-08-14,State Electricity Board,District Engineer
278,Nellore,Jamiepalli,73,78,22.14905701454265,7,No,86,Moderate,Yes,2025-08-09,State Electricity Board,Independent Auditor
279,Chittoor,Anthonypalli,71,56,21.07130436142646,2,No,93,High,No,2025-08-18,State Electricity Board,Gram Panchayat Officer
280,West Godavari,Michelepalli,78,74,20.979384143097207,8,No,92,Low,No,2025-08-06,State Electricity Board,District Engineer
281,Nellore,Christopherpalli,79,64,19.25940088094619,7,Yes,98,High,No,2025-07-27,State Electricity Board,Gram Panchayat Officer
282,Nellore,Danielpalli,90,100,20.58006974735825,6,Yes,99,High,Yes,2025-08-02,State Electricity Board,District Engineer
283,Prakasam,Stephaniepalli,73,53,21.19359588305253,9,No,95,Low,Yes,2025-08-07,State Electricity Board,District Engineer
284,Anantapur,Christopherpalli,96,93,22.253221452551216,3,Yes,82,High,No,2025-08-03,State Electricity Board,Independent Auditor
285,Chittoor,Lorettapalli,79,68,19.021207123274404,5,No,88,High,No,2025-08-05,State Electricity Board,Independent Auditor
286,Vizianagaram,Richardpalli,89,96,20.746927078791213,6,No,85,High,No,2025-07-29,State Electricity Board,Gram Panchayat Officer
287,Kurnool,Joshuapalli,80,90,22.259872536555587,6,Partial,84,High,Yes,2025-07-29,State Electricity Board,Independent Auditor
288,YSR Kadapa,Kennethpalli,71,61,18.86075534245925,8,Partial,98,Moderate,Yes,2025-07-29,State Electricity Board,District Engineer
289,YSR Kadapa,Brianpalli,79,83,21.242687442341364,10,No,82,Moderate,Yes,2025-07-26,State Electricity Board,Gram Panchayat Officer
290,Krishna,Michellepalli,94,87,21.174725411798747,5,No,83,Moderate,Yes,2025-08-11,State Electricity Board,Gram Panchayat Officer
291,Anantapur,Cristianpalli,94,60,21.13843372441443,7,Partial,83,Low,Yes,2025-08-01,State Electricity Board,District Engineer
292,Krishna,Carolinepalli,90,51,19.259520271189352,9,No,93,High,Yes,2025-07-31,State Electricity Board,District Engineer
293,West Godavari,Kristenpalli,88,65,21.658527641865827,8,Partial,82,Moderate,No,2025-08-06,State Electricity Board,District Engineer
294,Guntur,Ryanpalli,98,51,22.427330991398996,10,Partial,98,High,Yes,2025-07-29,State Electricity Board,District Engineer
295,Anantapur,Jenniferpalli,84,79,21.46255316050324,6,No,84,High,No,2025-07-26,State Electricity Board,Gram Panchayat Officer
296,Nellore,Samanthapalli,88,63,19.326066962917714,6,Yes,100,High,No,2025-08-01,State Electricity Board,Independent Auditor
297,West Godavari,Robertpalli,87,98,18.124005172604807,8,Partial,80,High,No,2025-08-18,State Electricity Board,District Engineer
298,Prakasam,Williampalli,91,75,18.11985114572028,2,Yes,98,Low,Yes,2025-08-24,State Electricity Board,District Engineer
299,YSR Kadapa,Anitapalli,100,84,18.753901355840174,10,No,89,Low,No,2025-08-13,State Electricity Board,District Engineer
300,Chittoor,Sandypalli,77,96,20.559551464420373,10,Yes,96,Moderate,Yes,2025-07-28,State Electricity Board,Independent Auditor
301,Krishna,Amberpalli,92,57,18.256298986825662,6,Yes,84,Moderate,Yes,2025-08-02,State Electricity Board,Gram Panchayat Officer
302,Kurnool,Jacquelinepalli,76,75,18.41807278569535,6,Partial,96,Moderate,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
303,YSR Kadapa,Caseypalli,74,78,18.473195368812963,6,Partial,99,Moderate,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
304,West Godavari,Jamespalli,77,89,18.36212185193514,1,Partial,90,High,No,2025-07-28,State Electricity Board,Gram Panchayat Officer
305,Anantapur,Emilypalli,72,73,21.79721469978808,5,No,87,Low,No,2025-07-28,State Electricity Board,Gram Panchayat Officer
306,Krishna,Jaredpalli,96,74,19.436452727829657,8,Partial,85,Moderate,No,2025-07-30,State Electricity Board,District Engineer
307,Prakasam,Monicapalli,73,74,19.741063903842836,7,Partial,99,Low,Yes,2025-07-29,State Electricity Board,Independent Auditor
308,West Godavari,Brittneypalli,99,65,20.829220733917907,3,No,80,Low,No,2025-07-31,State Electricity Board,Independent Auditor
309,Nellore,Williampalli,82,76,18.028115913709197,4,No,85,High,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
310,Krishna,Nicolepalli,78,54,22.90200129321793,7,Yes,81,Low,No,2025-07-25,State Electricity Board,Gram Panchayat Officer
311,Vizianagaram,Kellypalli,90,63,20.008572647068494,5,No,88,Low,No,2025-07-25,State Electricity Board,District Engineer
312,Krishna,Jessicapalli,71,62,22.015672917375706,9,Yes,84,Moderate,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
313,Visakhapatnam,Damonpalli,74,81,20.51819055714595,7,Yes,96,Low,No,2025-08-04,State Electricity Board,Gram Panchayat Officer
314,Krishna,Melvinpalli,91,67,20.719725837531353,9,Partial,87,High,No,2025-07-30,State Electricity Board,District Engineer
315,Nellore,Shannonpalli,99,51,21.45206681244499,10,Yes,93,Moderate,No,2025-08-16,State Electricity Board,Independent Auditor
316,Anantapur,Davidpalli,94,92,23.161602375215836,1,Partial,85,Low,No,2025-07-25,State Electricity Board,Independent Auditor
317,Prakasam,Anthonypalli,86,79,22.59156459285121,6,No,83,High,Yes,2025-07-29,State Electricity Board,Gram Panchayat Officer
318,West Godavari,Jonathanpalli,87,97,23.356539910450927,3,No,83,Moderate,No,2025-07-27,State Electricity Board,District Engineer
319,Guntur,Danielpalli,70,91,23.807011369980195,9,Partial,83,Low,No,2025-07-29,State Electricity Board,Gram Panchayat Officer
320,Vizianagaram,Annapalli,94,96,22.593999661311504,1,Yes,89,Low,Yes,2025-08-08,State Electricity Board,Gram Panchayat Officer
321,Vizianagaram,Rachelpalli,76,85,20.819359679960645,6,Partial,87,High,Yes,2025-08-18,State Electricity Board,Gram Panchayat Officer
322,Chittoor,Oscarpalli,79,98,20.849377980061192,1,No,83,Low,Yes,2025-08-05,State Electricity Board,District Engineer
323,Anantapur,Chelseypalli,89,57,23.65247739634725,6,Yes,96,High,No,2025-08-24,State Electricity Board,District Engineer
324,Srikakulam,Brandonpalli,87,58,20.375388002391468,6,No,85,Low,No,2025-08-22,State Electricity Board,Independent Auditor
325,Krishna,Christopherpalli,97,60,23.1741386742841,4,Yes,99,Low,No,2025-08-10,State Electricity Board,Gram Panchayat Officer
326,Vizianagaram,Thomaspalli,74,50,19.611185688881363,5,Yes,80,Low,No,2025-08-02,State Electricity Board,Independent Auditor
327,Nellore,Jonpalli,96,95,19.63266836552492,10,Yes,85,Moderate,No,2025-07-31,State Electricity Board,District Engineer
328,Chittoor,Heatherpalli,96,85,21.859479281691463,1,Partial,95,High,No,2025-08-21,State Electricity Board,Independent Auditor
329,YSR Kadapa,Samanthapalli,99,59,18.865190316020826,5,Partial,94,Low,No,2025-08-20,State Electricity Board,Independent Auditor
330,Guntur,Williampalli,82,66,23.193300914762997,10,No,86,Low,Yes,2025-08-13,State Electricity Board,District Engineer
331,Guntur,Timothypalli,85,69,22.76070553708761,3,No,80,Moderate,Yes,2025-08-19,State Electricity Board,Gram Panchayat Officer
332,YSR Kadapa,Jenniferpalli,73,56,21.201416410286896,10,Yes,81,Low,No,2025-08-12,State Electricity Board,Independent Auditor
333,Vizianagaram,Franciscopalli,83,56,22.125253619915956,4,Yes,95,Low,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
334,Kurnool,Michaelpalli,84,94,21.91678629084685,1,Yes,81,Low,No,2025-07-31,State Electricity Board,District Engineer
335,Visakhapatnam,Timothypalli,82,76,22.328650212386634,2,Partial,91,Low,No,2025-07-25,State Electricity Board,Independent Auditor
336,Nellore,Sherripalli,88,51,18.059858381999916,8,No,99,Moderate,Yes,2025-08-23,State Electricity Board,District Engineer
337,Prakasam,Michaelpalli,85,65,18.81936895848237,10,Yes,80,Moderate,Yes,2025-08-05,State Electricity Board,Gram Panchayat Officer
338,Kurnool,Marypalli,72,62,22.515811433435633,1,Partial,94,Low,Yes,2025-08-22,State Electricity Board,District Engineer
339,Anantapur,Jasonpalli,76,84,22.877981560558442,10,Yes,96,Moderate,Yes,2025-08-04,State Electricity Board,Gram Panchayat Officer
340,Prakasam,Briannapalli,85,59,19.113827219007177,1,No,90,High,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
341,Visakhapatnam,Stevenpalli,95,57,23.992761678813903,2,Partial,85,High,Yes,2025-08-09,State Electricity Board,District Engineer
342,Vizianagaram,Adrianpalli,84,66,19.838359515885042,7,Yes,84,Low,No,2025-08-15,State Electricity Board,District Engineer
343,East Godavari,Veronicapalli,75,73,18.86534813461496,7,Yes,84,Moderate,Yes,2025-08-18,State Electricity Board,Independent Auditor
344,Srikakulam,Randallpalli,78,98,18.493692985560717,1,Partial,88,Moderate,No,2025-07-30,State Electricity Board,Gram Panchayat Officer
345,Vizianagaram,Arthurpalli,98,61,20.25496573524285,1,Yes,85,Moderate,No,2025-08-14,State Electricity Board,District Engineer
346,Krishna,Troypalli,77,58,20.821948546572415,2,Partial,94,High,No,2025-08-01,State Electricity Board,Independent Auditor
347,Anantapur,Meganpalli,70,93,18.80361915843256,6,Partial,91,High,No,2025-08-21,State Electricity Board,Gram Panchayat Officer
348,West Godavari,Michellepalli,71,58,18.634612177594033,10,Partial,83,Moderate,Yes,2025-08-19,State Electricity Board,Gram Panchayat Officer
349,Anantapur,Jamespalli,87,75,23.960206333880784,5,Partial,99,High,No,2025-08-16,State Electricity Board,Gram Panchayat Officer
350,Anantapur,Marilynpalli,87,77,22.74698227102197,9,Partial,93,Low,Yes,2025-08-10,State Electricity Board,Gram Panchayat Officer
351,Srikakulam,Amandapalli,71,50,21.00119932855005,5,No,94,Moderate,Yes,2025-08-08,State Electricity Board,Independent Auditor
352,Anantapur,Jenniferpalli,77,78,22.925186261118167,9,Yes,98,Low,Yes,2025-08-09,State Electricity Board,Gram Panchayat Officer
353,Kurnool,Jacquelinepalli,89,86,18.783776972551077,7,No,81,Low,No,2025-08-06,State Electricity Board,Independent Auditor
354,Visakhapatnam,Lindsaypalli,93,98,21.174519133565873,4,No,99,High,Yes,2025-07-29,State Electricity Board,District Engineer
355,YSR Kadapa,Teresapalli,95,70,23.877884487679356,5,Partial,88,High,No,2025-08-16,State Electricity Board,Gram Panchayat Officer
356,Guntur,Anthonypalli,100,52,21.02501808811964,2,Yes,98,High,No,2025-08-14,State Electricity Board,Gram Panchayat Officer
357,Guntur,Michaelpalli,83,61,18.88820523237061,1,Yes,82,Low,Yes,2025-08-01,State Electricity Board,Independent Auditor
358,Visakhapatnam,Nathanpalli,85,93,23.632802534515125,3,Yes,91,Moderate,Yes,2025-07-27,State Electricity Board,District Engineer
359,West Godavari,Dalepalli,94,63,18.011870029313542,1,Yes,97,High,No,2025-08-17,State Electricity Board,Gram Panchayat Officer
360,Krishna,Leahpalli,93,95,23.9643835903692,8,Yes,98,Low,Yes,2025-08-24,State Electricity Board,Independent Auditor
361,Vizianagaram,Samuelpalli,86,86,22.608707686281722,10,Yes,83,Moderate,Yes,2025-08-12,State Electricity Board,District Engineer
362,Nellore,Alexandrapalli,70,87,23.72966984760198,2,No,98,High,Yes,2025-07-29,State Electricity Board,District Engineer
363,Prakasam,Robertpalli,74,93,20.966832706401117,8,Partial,98,High,No,2025-08-01,State Electricity Board,Independent Auditor
364,Anantapur,Dariuspalli,89,52,20.329227492611395,9,Partial,90,Moderate,Yes,2025-07-25,State Electricity Board,Independent Auditor
365,Anantapur,Christopherpalli,83,80,23.999849629015323,7,Yes,81,Low,Yes,2025-07-26,State Electricity Board,Independent Auditor
366,Guntur,Samanthapalli,96,87,21.090299931645244,4,Yes,93,Low,Yes,2025-08-01,State Electricity Board,District Engineer
367,Visakhapatnam,Sethpalli,100,78,18.49489161057334,2,Partial,82,Moderate,Yes,2025-08-03,State Electricity Board,Independent Auditor
368,Nellore,Tiffanypalli,87,91,20.216280148668716,5,No,96,Low,No,2025-08-20,State Electricity Board,District Engineer
369,Vizianagaram,Aaronpalli,76,90,19.55864541850626,1,Yes,91,Low,No,2025-07-31,State Electricity Board,District Engineer
370,Vizianagaram,Alyssapalli,78,76,20.466694862990288,8,No,92,High,No,2025-08-15,State Electricity Board,Independent Auditor
371,Visakhapatnam,Carlapalli,98,95,19.640029454077638,7,No,94,Low,Yes,2025-08-21,State Electricity Board,District Engineer
372,Visakhapatnam,Anthonypalli,87,58,19.60197936957633,1,Yes,97,Low,Yes,2025-07-26,State Electricity Board,District Engineer
373,Chittoor,Joannapalli,90,64,21.080033560696467,10,No,80,Low,No,2025-08-20,State Electricity Board,District Engineer
374,East Godavari,Angelapalli,86,72,21.004782686557288,2,No,88,High,No,2025-07-27,State Electricity Board,District Engineer
375,YSR Kadapa,Josepalli,84,64,22.738011758599104,6,Partial,86,Moderate,No,2025-08-19,State Electricity Board,District Engineer
376,YSR Kadapa,Josephpalli,81,79,18.104381069917437,5,Yes,85,High,Yes,2025-07-31,State Electricity Board,Independent Auditor
377,Nellore,Paulpalli,100,58,21.309962810630477,6,Yes,97,Low,No,2025-07-25,State Electricity Board,District Engineer
378,Chittoor,Rebeccapalli,90,61,22.717810688832998,6,No,98,Low,No,2025-08-03,State Electricity Board,Gram Panchayat Officer
379,West Godavari,Michaelpalli,73,52,18.36499354830302,10,Yes,87,Low,No,2025-08-11,State Electricity Board,Gram Panchayat Officer
380,YSR Kadapa,Priscillapalli,70,53,18.511518275489813,9,Yes,96,Low,No,2025-08-22,State Electricity Board,District Engineer
381,YSR Kadapa,Andreapalli,72,96,23.27387218530346,3,Yes,84,High,No,2025-08-22,State Electricity Board,Gram Panchayat Officer
382,East Godavari,Patrickpalli,72,58,18.17619040555644,5,Partial,91,Low,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
383,Guntur,Reginapalli,83,98,19.95061380674191,5,No,92,High,Yes,2025-07-27,State Electricity Board,Gram Panchayat Officer
384,Nellore,Michaelpalli,90,61,23.36300191928416,8,No,87,High,No,2025-08-12,State Electricity Board,District Engineer
385,YSR Kadapa,Christopherpalli,73,89,18.528675526361003,4,Yes,91,Moderate,Yes,2025-07-25,State Electricity Board,Independent Auditor
386,Srikakulam,Markpalli,79,81,23.072065747480128,5,Yes,91,High,No,2025-08-22,State Electricity Board,Gram Panchayat Officer
387,West Godavari,Tammypalli,83,84,19.014461569332266,6,Yes,84,Moderate,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
388,YSR Kadapa,Bryanpalli,70,82,20.351907708375336,7,Partial,92,Moderate,No,2025-07-25,State Electricity Board,District Engineer
389,Vizianagaram,Michaelpalli,97,58,19.65637166724645,2,Partial,94,Moderate,No,2025-08-08,State Electricity Board,Gram Panchayat Officer
390,YSR Kadapa,Jenniferpalli,95,89,19.76071087151639,8,Yes,85,High,Yes,2025-08-04,State Electricity Board,District Engineer
391,Kurnool,Jasonpalli,81,50,18.21899657306586,2,Partial,89,High,No,2025-08-15,State Electricity Board,District Engineer
392,Krishna,Angelapalli,74,65,19.87924204159205,5,Yes,89,Low,No,2025-08-01,State Electricity Board,Gram Panchayat Officer
393,Nellore,Stacypalli,98,97,22.523400144803688,9,Yes,83,Low,Yes,2025-08-14,State Electricity Board,Independent Auditor
394,East Godavari,Christinapalli,83,66,21.627607482891744,6,Yes,91,Moderate,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
395,Guntur,Jamespalli,91,94,19.658473661587976,5,Partial,82,Low,Yes,2025-08-03,State Electricity Board,Independent Auditor
396,East Godavari,Timothypalli,89,81,22.64466039220533,9,Partial,82,High,Yes,2025-08-10,State Electricity Board,District Engineer
397,Nellore,Jamespalli,70,92,20.574206973619837,5,Yes,90,High,No,2025-08-08,State Electricity Board,Independent Auditor
398,Chittoor,Jessicapalli,95,61,22.34409392169593,9,Partial,88,High,No,2025-08-07,State Electricity Board,District Engineer
399,Chittoor,Rebekahpalli,82,75,19.558022209979804,1,No,83,Low,Yes,2025-08-19,State Electricity Board,District Engineer
400,West Godavari,Laurenpalli,75,73,19.86601250750154,5,Yes,85,Low,Yes,2025-08-21,State Electricity Board,Independent Auditor
401,Krishna,Lynnpalli,82,53,19.865732145814633,9,No,80,Low,No,2025-08-20,State Electricity Board,District Engineer
402,Anantapur,Katiepalli,92,96,21.85116017784007,9,No,81,Low,Yes,2025-08-19,State Electricity Board,District Engineer
403,East Godavari,Kathleenpalli,92,62,18.630207431078308,8,Partial,98,High,Yes,2025-08-22,State Electricity Board,District Engineer
404,Guntur,Peterpalli,95,67,18.194602397308874,1,Yes,89,Moderate,Yes,2025-08-17,State Electricity Board,District Engineer
405,Kurnool,Trevorpalli,94,94,20.978291932383414,2,Partial,94,High,No,2025-08-23,State Electricity Board,Independent Auditor
406,Chittoor,Brittneypalli,73,90,22.546022387800534,3,No,99,Low,No,2025-08-21,State Electricity Board,Independent Auditor
407,Vizianagaram,Natashapalli,90,68,23.07240602276546,8,Partial,90,Moderate,Yes,2025-08-04,State Electricity Board,District Engineer
408,Chittoor,Michaelpalli,72,63,23.749226485381254,6,Yes,90,High,Yes,2025-08-02,State Electricity Board,District Engineer
409,West Godavari,Josepalli,70,80,23.535743869832206,9,Partial,94,High,Yes,2025-08-09,State Electricity Board,District Engineer
410,Visakhapatnam,Johnpalli,94,79,21.592465807219718,1,Partial,87,Moderate,Yes,2025-07-25,State Electricity Board,Gram Panchayat Officer
411,East Godavari,Bethpalli,73,77,18.164942244553185,9,Yes,99,Moderate,Yes,2025-08-20,State Electricity Board,District Engineer
412,YSR Kadapa,Brittanypalli,91,88,23.274691600717667,10,Partial,92,Moderate,No,2025-08-09,State Electricity Board,District Engineer
413,Prakasam,Samanthapalli,87,62,20.910987958558557,4,Yes,94,Moderate,Yes,2025-07-27,State Electricity Board,District Engineer
414,West Godavari,Lisapalli,75,68,21.282179296683864,9,No,91,Moderate,Yes,2025-08-24,State Electricity Board,District Engineer
415,YSR Kadapa,Amandapalli,90,66,22.014778056806023,5,Yes,84,Low,No,2025-07-25,State Electricity Board,District Engineer
416,Nellore,Melaniepalli,75,57,20.344218429256088,1,No,99,High,No,2025-08-07,State Electricity Board,Gram Panchayat Officer
417,Nellore,Philippalli,97,79,19.557489591765886,8,Yes,92,Moderate,No,2025-08-22,State Electricity Board,Gram Panchayat Officer
418,Guntur,Douglaspalli,89,94,18.710365008379867,10,No,84,Low,No,2025-08-23,State Electricity Board,Independent Auditor
419,Kurnool,Corypalli,73,76,23.36789472244047,3,No,82,Low,No,2025-07-26,State Electricity Board,District Engineer
420,YSR Kadapa,Meredithpalli,76,62,20.183872061062782,9,No,85,Moderate,Yes,2025-08-02,State Electricity Board,Independent Auditor
421,Visakhapatnam,Karapalli,92,57,21.720016682365248,4,Partial,84,Moderate,No,2025-08-08,State Electricity Board,District Engineer
422,Prakasam,Jacobpalli,77,51,18.06131338930552,2,Partial,93,High,Yes,2025-07-29,State Electricity Board,District Engineer
